,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
33,frozenset({'favorit'}),frozenset({'yall'}),0.7159703504043127,0.025741239892183288,0.021091644204851753,0.029458823529411766,1.1444213119802895,0.002661679659403813,1.0038304234043398
34,frozenset({'favourit'}),frozenset({'game'}),0.2819407008086253,0.06900269541778976,0.020013477088948788,0.0709847036328872,1.0287236346797324,0.0005588087851730213,1.0021334505716408
35,frozenset({'game'}),frozenset({'favourit'}),0.06900269541778976,0.2819407008086253,0.020013477088948788,0.2900390625,1.0287236346797324,0.0005588087851730213,1.0114067708005057
36,frozenset({'ill'}),frozenset({'favourit'}),0.08942048517520215,0.2819407008086253,0.027021563342318058,0.3021853805576488,1.0718047436604945,0.0018102890853742733,1.029011544305566
37,frozenset({'favourit'}),frozenset({'ill'}),0.2819407008086253,0.08942048517520215,0.027021563342318058,0.09584130019120458,1.0718047436604945,0.0018102890853742733,1.0071014248022612
38,frozenset({'song'}),frozenset({'favourit'}),0.15498652291105122,0.2819407008086253,0.04433962264150943,0.2860869565217391,1.014706126860088,0.0006426137560755843,1.0058077881486978
39,frozenset({'favourit'}),frozenset({'song'}),0.2819407008086253,0.15498652291105122,0.04433962264150943,0.15726577437858508,1.014706126860088,0.0006426137560755843,1.0027045910777543
40,frozenset({'what'}),frozenset({'favourit'}),0.21320754716981133,0.2819407008086253,0.06361185983827493,0.29835651074589126,1.058224335437148,0.0034999745715302844,1.0233962264150942
41,frozenset({'favourit'}),frozenset({'what'}),0.2819407008086253,0.21320754716981133,0.06361185983827493,0.22562141491395793,1.0582243354371477,0.0034999745715302844,1.0160307477288608
42,frozenset({'video'}),frozenset({'game'}),0.03369272237196765,0.06900269541778976,0.02486522911051213,0.7380000000000001,10.695234375,0.022540340450883094,3.5534248266496586
43,frozenset({'game'}),frozenset({'video'}),0.06900269541778976,0.03369272237196765,0.02486522911051213,0.3603515625,10.695234375,0.022540340450883094,1.5106849653299315
44,frozenset({'rate'}),frozenset({'ill'}),0.05195417789757412,0.08942048517520215,0.03234501347708895,0.622568093385214,6.962253583900962,0.02769924568260911,2.412566343401784
45,frozenset({'ill'}),frozenset({'rate'}),0.08942048517520215,0.05195417789757412,0.03234501347708895,0.3617181612660136,6.962253583900962,0.02769924568260911,1.4853090979101762
46,frozenset({'ill'}),frozenset({'song'}),0.08942048517520215,0.15498652291105122,0.028706199460916442,0.32102486812358705,2.071308279545231,0.014847229386592657,1.244542601661526
47,frozenset({'song'}),frozenset({'ill'}),0.15498652291105122,0.08942048517520215,0.028706199460916442,0.1852173913043478,2.071308279545231,0.014847229386592657,1.1175735774263793
48,frozenset({'rate'}),frozenset({'song'}),0.05195417789757412,0.15498652291105122,0.02095687331536388,0.4033722438391699,2.602627868944905,0.01290467593231668,1.4163160670338686
49,frozenset({'song'}),frozenset({'rate'}),0.15498652291105122,0.05195417789757412,0.02095687331536388,0.13521739130434782,2.602627868944905,0.01290467593231668,1.096282247780583
50,frozenset({'song'}),frozenset({'what'}),0.15498652291105122,0.21320754716981133,0.030929919137466306,0.19956521739130434,0.9360138514813389,-0.0021143772567766943,0.9829563506297847
51,frozenset({'what'}),frozenset({'song'}),0.21320754716981133,0.15498652291105122,0.030929919137466306,0.14506953223767383,0.9360138514813389,-0.0021143772567766943,0.9884002371569072
52,"frozenset({'rate', 'ill'})",frozenset({'favorit'}),0.03234501347708895,0.7159703504043127,0.022506738544474394,0.6958333333333333,0.9718745098039215,-0.0006513320885491967,0.9337961082597939
53,"frozenset({'rate', 'favorit'})",frozenset({'ill'}),0.0362533692722372,0.08942048517520215,0.022506738544474394,0.620817843866171,6.94268033381611,0.01926494467491518,2.401430289096771
54,"frozenset({'ill', 'favorit'})",frozenset({'rate'}),0.06233153638814016,0.05195417789757412,0.022506738544474394,0.3610810810810811,6.94999123637256,0.019268354814335847,1.483828063358281
55,frozenset({'rate'}),"frozenset({'ill', 'favorit'})",0.05195417789757412,0.06233153638814016,0.022506738544474394,0.43320363164721143,6.9499912363725596,0.019268354814335847,1.6543304014753866
56,frozenset({'ill'}),"frozenset({'rate', 'favorit'})",0.08942048517520215,0.0362533692722372,0.022506738544474394,0.25169555388093445,6.94268033381611,0.01926494467491518,1.2879071288778865
57,frozenset({'favorit'}),"frozenset({'rate', 'ill'})",0.7159703504043127,0.03234501347708895,0.022506738544474394,0.03143529411764706,0.9718745098039215,-0.0006513320885491967,0.999060755204152
58,"frozenset({'ill', 'song'})",frozenset({'favorit'}),0.028706199460916442,0.7159703504043127,0.02021563342318059,0.704225352112676,0.9835956917978458,-0.0003371542636278445,0.9602907200616094
59,"frozenset({'ill', 'favorit'})",frozenset({'song'}),0.06233153638814016,0.15498652291105122,0.02021563342318059,0.32432432432432434,2.092596944770858,0.010555085330679084,1.2506199460916443
60,"frozenset({'song', 'favorit'})",frozenset({'ill'}),0.1103099730458221,0.08942048517520215,0.02021563342318059,0.1832620647525962,2.0494416284314454,0.010351662113759708,1.1148980297443485
61,frozenset({'ill'}),"frozenset({'song', 'favorit'})",0.08942048517520215,0.1103099730458221,0.02021563342318059,0.22607385079125847,2.049441628431445,0.010351662113759708,1.1495800056165473
62,frozenset({'song'}),"frozenset({'ill', 'favorit'})",0.15498652291105122,0.06233153638814016,0.02021563342318059,0.13043478260869562,2.0925969447708574,0.010555085330679084,1.0783187331536388
63,frozenset({'favorit'}),"frozenset({'ill', 'song'})",0.7159703504043127,0.028706199460916442,0.02021563342318059,0.028235294117647056,0.9835956917978458,-0.0003371542636278445,0.999515412177023
64,"frozenset({'song', 'what'})",frozenset({'favorit'}),0.030929919137466306,0.7159703504043127,0.020013477088948788,0.6470588235294118,0.9037508650519032,-0.0021314279538800183,0.8047506738544475
65,"frozenset({'song', 'favorit'})",frozenset({'what'}),0.1103099730458221,0.21320754716981133,0.020013477088948788,0.18142944410507025,0.8509522599618339,-0.003505441692518943,0.9611785412559841
66,"frozenset({'what', 'favorit'})",frozenset({'song'}),0.14912398921832884,0.15498652291105122,0.020013477088948788,0.1342069588793493,0.8659266390302364,-0.0030987314826250896,0.9759993866377055
67,frozenset({'song'}),"frozenset({'what', 'favorit'})",0.15498652291105122,0.14912398921832884,0.020013477088948788,0.1291304347826087,0.8659266390302363,-0.0030987314826250896,0.9770418496244851
68,frozenset({'what'}),"frozenset({'song', 'favorit'})",0.21320754716981133,0.1103099730458221,0.020013477088948788,0.0938685208596713,0.8509522599618339,-0.003505441692518943,0.9818553349435015
69,frozenset({'favorit'}),"frozenset({'song', 'what'})",0.7159703504043127,0.030929919137466306,0.020013477088948788,0.02795294117647059,0.9037508650519032,-0.0021314279538800183,0.9969374137455868
